id,warehouse_block,mode_of_shipment,customer_care_calls,customer_rating,cost_of_shipping,prior_purchases,product_importance,gender,discount_offered(%),weight_in_gms,reached.on.time_y.n,customer_rating_category,on_time(str),loyalty_category
34,B,Ship,4,2,234,3,medium,male,4,3261,1,Dissatisfied,delayed,Low Loyal
35,C,Ship,4,2,227,4,medium,female,22,2460,1,Dissatisfied,delayed,Moderate Loyal
36,E,Ship,5,4,149,3,medium,female,44,1811,1,Satisfied,delayed,Low Loyal
37,D,Ship,3,5,137,4,high,female,62,1477,1,Very Satisfied,delayed,Moderate Loyal
38,E,Ship,2,4,181,6,medium,female,16,3605,1,Satisfied,delayed,Moderate Loyal
39,A,Ship,5,1,215,4,low,female,56,3905,1,Very dissatisfied,delayed,Moderate Loyal
40,B,Ship,4,2,269,5,low,female,45,2383,1,Dissatisfied,delayed,Moderate Loyal
41,C,Ship,5,1,227,2,low,male,15,3798,1,Very dissatisfied,delayed,Low Loyal
42,E,Ship,5,5,139,4,medium,male,61,1265,1,Very Satisfied,delayed,Moderate Loyal
43,D,Ship,3,5,137,2,medium,male,38,1647,1,Very Satisfied,delayed,Low Loyal
44,E,Ship,3,1,174,2,low,male,44,1556,1,Very dissatisfied,delayed,Low Loyal
45,A,Ship,3,1,151,2,low,male,29,1328,1,Very dissatisfied,delayed,Low Loyal
46,B,Ship,5,1,210,3,low,female,9,2944,1,Very dissatisfied,delayed,Low Loyal
47,C,Ship,3,4,169,4,medium,female,32,1245,1,Satisfied,delayed,Moderate Loyal
48,E,Ship,5,1,160,2,low,male,32,1576,1,Very dissatisfied,delayed,Low Loyal
49,D,Ship,5,4,190,2,medium,male,9,3753,1,Satisfied,delayed,Low Loyal
50,E,Ship,5,3,216,3,low,female,40,2146,1,Neutral,delayed,Low Loyal
51,A,Ship,4,1,183,3,low,male,37,2042,1,Very dissatisfied,delayed,Low Loyal
52,B,Ship,4,4,141,3,low,male,22,1735,1,Satisfied,delayed,Low Loyal
53,C,Ship,4,3,165,3,low,female,44,1320,1,Neutral,delayed,Low Loyal
54,E,Ship,2,1,170,3,low,male,41,1128,1,Very dissatisfied,delayed,Low Loyal
55,D,Ship,4,3,203,3,high,male,12,3539,1,Neutral,delayed,Low Loyal
56,E,Ship,2,5,246,5,low,male,46,2437,1,Very Satisfied,delayed,Moderate Loyal
57,A,Ship,3,3,238,3,low,female,61,3096,1,Neutral,delayed,Low Loyal
58,B,Ship,3,3,193,3,medium,female,29,3453,1,Neutral,delayed,Low Loyal
59,C,Ship,5,5,141,3,high,male,41,1367,1,Very Satisfied,delayed,Low Loyal
60,E,Ship,4,1,150,3,high,female,17,1923,1,Very dissatisfied,delayed,Low Loyal
61,D,Ship,3,1,221,3,low,female,64,2794,1,Very dissatisfied,delayed,Low Loyal
62,E,Ship,3,3,179,3,medium,male,52,1158,1,Neutral,delayed,Low Loyal
63,A,Ship,5,1,105,6,medium,male,62,1292,1,Very dissatisfied,delayed,Moderate Loyal
64,B,Ship,3,1,177,3,medium,male,61,1880,1,Very dissatisfied,delayed,Low Loyal
65,C,Ship,4,5,261,2,high,male,49,3045,1,Very Satisfied,delayed,Low Loyal
66,E,Ship,3,2,202,3,low,male,49,2881,1,Dissatisfied,delayed,Low Loyal
67,D,Ship,3,2,109,3,medium,female,15,1710,1,Dissatisfied,delayed,Low Loyal
68,E,Ship,3,3,158,3,low,female,6,1878,1,Neutral,delayed,Low Loyal
69,A,Ship,4,2,231,4,medium,female,6,2512,1,Dissatisfied,delayed,Moderate Loyal
70,B,Ship,3,5,206,3,medium,male,39,2929,1,Very Satisfied,delayed,Low Loyal
71,C,Ship,5,1,187,4,high,male,14,3849,1,Very dissatisfied,delayed,Moderate Loyal
72,E,Ship,5,5,230,2,low,female,2,2229,1,Very Satisfied,delayed,Low Loyal
73,D,Ship,5,5,232,3,medium,female,33,2998,1,Very Satisfied,delayed,Low Loyal
74,E,Ship,4,5,215,3,medium,female,21,3984,1,Very Satisfied,delayed,Low Loyal
75,A,Ship,6,1,238,6,low,female,13,2442,1,Very dissatisfied,delayed,Moderate Loyal
76,B,Ship,4,1,266,3,low,female,23,3775,1,Very dissatisfied,delayed,Low Loyal
77,C,Ship,2,3,158,2,medium,female,36,1788,1,Neutral,delayed,Low Loyal
78,E,Ship,3,3,113,3,low,female,43,1518,1,Neutral,delayed,Low Loyal
79,D,Ship,3,4,223,3,low,male,18,3959,1,Satisfied,delayed,Low Loyal
80,E,Ship,3,5,257,2,medium,female,56,3711,1,Very Satisfied,delayed,Low Loyal
81,A,Ship,3,4,180,2,medium,female,49,1942,1,Satisfied,delayed,Low Loyal
82,B,Ship,2,5,132,3,low,male,18,1759,1,Very Satisfied,delayed,Low Loyal
83,C,Ship,4,4,217,3,high,female,26,2875,1,Satisfied,delayed,Low Loyal
84,E,Ship,5,5,162,3,high,female,31,1364,1,Very Satisfied,delayed,Low Loyal
85,D,Ship,4,5,197,2,medium,female,40,2710,1,Very Satisfied,delayed,Low Loyal
86,E,Ship,3,4,197,3,medium,male,13,2148,1,Satisfied,delayed,Low Loyal
87,A,Ship,4,1,185,2,low,male,44,2910,1,Very dissatisfied,delayed,Low Loyal
88,B,Ship,6,2,278,3,medium,female,3,2974,1,Dissatisfied,delayed,Low Loyal
89,C,Ship,3,3,229,3,low,male,49,2339,1,Neutral,delayed,Low Loyal
90,E,Ship,4,1,186,4,medium,female,57,3880,1,Very dissatisfied,delayed,Moderate Loyal
91,D,Ship,5,3,174,6,high,female,41,1085,1,Neutral,delayed,Moderate Loyal
92,E,Ship,5,5,286,3,low,female,18,3163,1,Very Satisfied,delayed,Low Loyal
93,A,Ship,4,4,175,2,medium,female,7,1188,1,Satisfied,delayed,Low Loyal
94,B,Ship,3,3,219,3,medium,female,17,3387,1,Neutral,delayed,Low Loyal
95,C,Ship,4,1,213,4,high,female,35,2343,1,Very dissatisfied,delayed,Moderate Loyal
96,E,Ship,2,3,235,3,low,male,57,2034,1,Neutral,delayed,Low Loyal
97,D,Ship,3,3,149,2,medium,male,18,1225,1,Neutral,delayed,Low Loyal
98,E,Ship,4,1,271,2,medium,female,8,2401,1,Very dissatisfied,delayed,Low Loyal
99,A,Ship,3,5,144,4,medium,male,5,1104,1,Very Satisfied,delayed,Moderate Loyal
100,B,Ship,4,2,145,2,medium,male,21,1617,1,Dissatisfied,delayed,Low Loyal
101,C,Ship,5,3,143,2,medium,male,59,1837,1,Neutral,delayed,Low Loyal
102,E,Ship,5,5,227,4,low,male,53,2624,1,Very Satisfied,delayed,Moderate Loyal
103,D,Ship,2,1,213,3,low,male,29,2732,1,Very dissatisfied,delayed,Low Loyal
104,E,Ship,5,1,144,4,low,male,37,1658,1,Very dissatisfied,delayed,Moderate Loyal
105,A,Ship,3,3,218,3,low,male,3,2255,1,Neutral,delayed,Low Loyal
106,B,Ship,4,2,144,3,medium,male,59,1588,1,Dissatisfied,delayed,Low Loyal
107,C,Ship,3,1,238,3,low,male,17,2624,1,Very dissatisfied,delayed,Low Loyal
108,E,Ship,4,5,216,3,high,male,26,2053,1,Very Satisfied,delayed,Low Loyal
109,D,Ship,4,5,238,3,high,female,55,3257,1,Very Satisfied,delayed,Low Loyal
110,E,Ship,4,1,141,3,medium,male,47,1250,1,Very dissatisfied,delayed,Low Loyal
111,A,Road,3,1,158,2,low,male,2,1284,1,Very dissatisfied,delayed,Low Loyal
112,B,Road,4,2,239,3,low,female,65,3679,1,Dissatisfied,delayed,Low Loyal
113,C,Road,4,3,175,2,low,male,25,1816,1,Neutral,delayed,Low Loyal
114,E,Road,3,2,263,3,low,male,41,2817,1,Dissatisfied,delayed,Low Loyal
115,D,Road,3,5,168,2,high,male,50,1616,1,Very Satisfied,delayed,Low Loyal
116,E,Road,3,4,176,3,high,male,36,1779,1,Satisfied,delayed,Low Loyal
117,A,Road,4,1,150,4,high,male,60,1024,1,Very dissatisfied,delayed,Moderate Loyal
118,B,Road,4,3,265,2,medium,female,31,2326,1,Neutral,delayed,Low Loyal
119,C,Road,2,5,263,3,low,female,5,2947,1,Very Satisfied,delayed,Low Loyal
120,E,Road,5,1,145,3,low,male,20,1387,1,Very dissatisfied,delayed,Low Loyal
121,D,Road,4,2,183,3,low,female,33,2741,1,Dissatisfied,delayed,Low Loyal
122,E,Road,3,3,205,3,medium,female,19,2167,1,Neutral,delayed,Low Loyal
123,A,Road,4,2,160,3,low,male,64,1714,1,Dissatisfied,delayed,Low Loyal
124,B,Road,3,3,252,2,medium,female,48,2102,1,Neutral,delayed,Low Loyal
125,C,Road,5,5,222,3,low,male,10,2280,1,Very Satisfied,delayed,Low Loyal
126,E,Road,3,3,203,2,low,male,25,3607,1,Neutral,delayed,Low Loyal
127,D,Road,4,5,220,3,medium,male,40,3516,1,Very Satisfied,delayed,Low Loyal
128,E,Road,3,3,147,4,low,female,60,1722,1,Neutral,delayed,Moderate Loyal
129,A,Road,4,4,200,4,medium,male,16,2060,1,Satisfied,delayed,Moderate Loyal
130,B,Road,4,5,224,4,medium,male,21,2026,1,Very Satisfied,delayed,Moderate Loyal
131,C,Road,3,5,179,2,low,female,17,1364,1,Very Satisfied,delayed,Low Loyal
132,E,Road,3,4,144,3,low,male,50,1865,1,Satisfied,delayed,Low Loyal
133,D,Flight,5,2,247,3,low,male,17,3889,1,Dissatisfied,delayed,Low Loyal
134,E,Flight,5,4,280,6,medium,female,51,3582,1,Satisfied,delayed,Moderate Loyal
135,A,Flight,3,3,168,2,medium,female,1,1829,1,Neutral,delayed,Low Loyal
136,B,Flight,3,5,157,3,medium,female,4,1889,1,Very Satisfied,delayed,Low Loyal
137,C,Flight,3,3,189,4,medium,female,51,2208,1,Neutral,delayed,Moderate Loyal
138,E,Flight,3,5,162,2,medium,male,7,1739,1,Very Satisfied,delayed,Low Loyal
139,D,Flight,4,1,207,5,low,male,48,2399,1,Very dissatisfied,delayed,Moderate Loyal
140,E,Flight,5,1,237,2,low,female,10,3860,1,Very dissatisfied,delayed,Low Loyal
141,A,Flight,4,4,264,3,high,male,59,2020,1,Satisfied,delayed,Low Loyal
142,B,Flight,5,4,149,3,low,male,51,1645,1,Satisfied,delayed,Low Loyal
143,C,Flight,5,5,162,3,low,male,41,1462,1,Very Satisfied,delayed,Low Loyal
144,E,Flight,2,1,205,4,medium,female,63,2156,1,Very dissatisfied,delayed,Moderate Loyal
145,D,Flight,2,1,158,3,medium,female,51,1540,1,Very dissatisfied,delayed,Low Loyal
146,E,Flight,2,2,248,2,low,male,46,3707,1,Dissatisfied,delayed,Low Loyal
147,A,Flight,3,5,191,3,low,male,23,3750,1,Very Satisfied,delayed,Low Loyal
148,B,Flight,4,3,146,4,medium,female,24,1844,1,Neutral,delayed,Moderate Loyal
149,C,Flight,3,3,135,3,low,male,56,1490,1,Neutral,delayed,Low Loyal
150,E,Flight,5,1,149,3,low,male,40,1062,1,Very dissatisfied,delayed,Low Loyal
151,D,Flight,4,4,220,2,medium,female,7,2551,1,Satisfied,delayed,Low Loyal
152,E,Flight,5,3,98,5,medium,male,44,1269,1,Neutral,delayed,Moderate Loyal
153,A,Flight,3,4,97,4,low,male,32,1238,1,Satisfied,delayed,Moderate Loyal
154,B,Flight,3,3,183,2,low,male,53,3932,1,Neutral,delayed,Low Loyal
155,C,Ship,3,3,162,3,medium,female,8,1869,1,Neutral,delayed,Low Loyal
156,E,Ship,5,1,114,4,low,female,47,1443,1,Very dissatisfied,delayed,Moderate Loyal
157,D,Ship,6,3,275,5,low,male,41,2491,1,Neutral,delayed,Moderate Loyal
158,E,Ship,3,2,203,2,medium,female,39,3845,1,Dissatisfied,delayed,Low Loyal
159,A,Ship,5,5,205,2,high,male,65,3671,1,Very Satisfied,delayed,Low Loyal
160,B,Ship,3,3,149,3,low,female,63,1946,1,Neutral,delayed,Low Loyal
161,C,Ship,2,2,112,4,medium,male,56,1138,1,Dissatisfied,delayed,Moderate Loyal
162,E,Ship,3,1,207,3,medium,female,56,3482,1,Very dissatisfied,delayed,Low Loyal
163,D,Ship,4,1,261,4,low,female,58,3427,1,Very dissatisfied,delayed,Moderate Loyal
164,E,Ship,5,2,274,3,medium,male,6,3375,1,Dissatisfied,delayed,Low Loyal
165,A,Ship,3,5,141,2,low,male,52,1692,1,Very Satisfied,delayed,Low Loyal
166,B,Ship,3,3,166,4,medium,female,17,1498,1,Neutral,delayed,Moderate Loyal
167,C,Ship,5,2,141,3,high,female,34,1020,1,Dissatisfied,delayed,Low Loyal
168,E,Ship,4,5,152,3,low,male,43,1709,1,Very Satisfied,delayed,Low Loyal
169,D,Ship,4,2,250,3,low,female,53,2478,1,Dissatisfied,delayed,Low Loyal
170,E,Ship,4,3,161,3,medium,female,28,1809,1,Neutral,delayed,Low Loyal
171,A,Ship,4,3,185,3,medium,female,10,2263,1,Neutral,delayed,Low Loyal
172,B,Ship,4,4,176,4,high,female,52,1096,1,Satisfied,delayed,Moderate Loyal
173,C,Ship,3,4,148,3,low,male,56,1550,1,Satisfied,delayed,Low Loyal
174,E,Ship,3,2,270,3,low,female,63,2751,1,Dissatisfied,delayed,Low Loyal
175,D,Ship,3,3,242,3,low,female,51,3935,1,Neutral,delayed,Low Loyal
176,E,Ship,4,4,150,2,medium,male,3,1285,1,Satisfied,delayed,Low Loyal
177,A,Ship,4,5,192,3,high,male,20,3872,1,Very Satisfied,delayed,Low Loyal
178,B,Ship,4,5,116,3,medium,male,54,1314,1,Very Satisfied,delayed,Low Loyal
179,C,Ship,3,3,192,3,medium,female,2,3995,1,Neutral,delayed,Low Loyal
180,E,Ship,5,5,255,4,medium,male,3,3440,1,Very Satisfied,delayed,Moderate Loyal
181,D,Ship,4,1,161,7,medium,female,18,1294,1,Very dissatisfied,delayed,High Loyal
182,E,Ship,4,5,157,3,low,male,20,1487,1,Very Satisfied,delayed,Low Loyal
183,A,Ship,3,2,164,10,high,female,28,1940,1,Dissatisfied,delayed,High Loyal
184,B,Ship,3,5,162,7,medium,female,16,1052,1,Very Satisfied,delayed,High Loyal
185,C,Ship,3,3,146,2,low,male,50,1486,1,Neutral,delayed,Low Loyal
186,E,Ship,3,2,209,3,medium,male,54,3001,1,Dissatisfied,delayed,Low Loyal
187,D,Ship,5,4,134,2,medium,female,55,1386,1,Satisfied,delayed,Low Loyal
188,E,Ship,2,1,222,2,medium,male,5,3778,1,Very dissatisfied,delayed,Low Loyal
189,A,Ship,2,5,139,3,low,female,27,1233,1,Very Satisfied,delayed,Low Loyal
190,B,Ship,2,4,134,3,low,female,42,1415,1,Satisfied,delayed,Low Loyal
191,C,Ship,2,5,130,3,low,male,16,1092,1,Very Satisfied,delayed,Low Loyal
192,E,Ship,2,5,133,3,low,female,62,1596,1,Very Satisfied,delayed,Low Loyal
193,D,Ship,2,4,140,3,low,female,7,1411,1,Satisfied,delayed,Low Loyal
194,E,Ship,2,2,158,3,low,male,28,1968,1,Dissatisfied,delayed,Low Loyal
195,A,Ship,4,2,270,4,low,female,46,1736,1,Dissatisfied,delayed,Moderate Loyal
196,B,Ship,2,5,140,3,low,female,30,1030,1,Very Satisfied,delayed,Low Loyal
197,C,Ship,2,2,135,3,low,male,15,1339,1,Dissatisfied,delayed,Low Loyal
198,E,Ship,2,3,136,3,low,female,19,1568,1,Neutral,delayed,Low Loyal
199,D,Ship,2,3,142,3,medium,female,38,7640,1,Neutral,delayed,Low Loyal
200,E,Ship,2,2,154,3,medium,male,38,7846,1,Dissatisfied,delayed,Low Loyal
201,A,Ship,2,3,139,3,low,male,9,1471,1,Neutral,delayed,Low Loyal
202,B,Ship,2,3,160,3,low,female,43,1251,1,Neutral,delayed,Low Loyal
203,C,Ship,2,4,134,3,low,male,58,1067,1,Satisfied,delayed,Low Loyal
204,E,Ship,5,3,161,5,high,male,48,1883,1,Neutral,delayed,Moderate Loyal
205,D,Ship,2,5,155,3,low,male,23,1602,1,Very Satisfied,delayed,Low Loyal
206,E,Ship,2,3,145,3,medium,female,24,7588,1,Neutral,delayed,Low Loyal
207,A,Ship,2,2,157,3,low,male,1,1477,1,Dissatisfied,delayed,Low Loyal
208,B,Ship,2,2,160,3,low,male,48,1691,1,Dissatisfied,delayed,Low Loyal
209,C,Ship,2,4,152,3,low,male,55,1498,1,Satisfied,delayed,Low Loyal
210,E,Ship,2,5,148,3,high,female,11,1502,1,Very Satisfied,delayed,Low Loyal
211,D,Ship,2,1,127,3,low,female,15,1522,1,Very dissatisfied,delayed,Low Loyal
212,E,Ship,2,5,154,3,low,female,21,1113,1,Very Satisfied,delayed,Low Loyal
213,A,Ship,2,5,127,3,low,male,44,1341,1,Very Satisfied,delayed,Low Loyal
214,B,Ship,2,5,160,3,medium,female,31,7401,1,Very Satisfied,delayed,Low Loyal
215,C,Ship,2,4,129,3,low,female,48,1219,1,Satisfied,delayed,Low Loyal
216,E,Ship,2,5,158,3,low,female,40,1722,1,Very Satisfied,delayed,Low Loyal
217,D,Ship,4,3,185,3,medium,male,3,3131,1,Neutral,delayed,Low Loyal
218,E,Ship,4,4,176,4,high,female,63,1293,1,Satisfied,delayed,Moderate Loyal
219,A,Ship,3,4,148,3,low,male,37,1523,1,Satisfied,delayed,Low Loyal
220,B,Ship,3,5,270,3,low,male,60,3885,1,Very Satisfied,delayed,Low Loyal
221,C,Ship,3,4,242,3,low,male,29,2381,1,Satisfied,delayed,Low Loyal
222,E,Ship,4,3,150,2,medium,male,31,1588,1,Neutral,delayed,Low Loyal
223,D,Ship,4,2,192,3,high,male,4,2061,1,Dissatisfied,delayed,Low Loyal
224,E,Ship,4,5,116,3,medium,female,9,1314,1,Very Satisfied,delayed,Low Loyal
225,A,Ship,3,4,192,3,medium,female,31,3331,1,Satisfied,delayed,Low Loyal
226,B,Ship,5,4,255,4,medium,female,38,2771,1,Satisfied,delayed,Moderate Loyal
227,C,Ship,4,3,161,7,medium,male,63,1496,1,Neutral,delayed,High Loyal
228,E,Ship,4,2,157,3,low,female,48,1393,1,Dissatisfied,delayed,Low Loyal
229,D,Ship,3,2,164,10,high,male,14,1375,1,Dissatisfied,delayed,High Loyal
230,E,Ship,3,3,162,7,medium,female,42,1278,1,Neutral,delayed,High Loyal
231,A,Ship,3,1,146,2,low,female,54,1528,1,Very dissatisfied,delayed,Low Loyal
232,B,Ship,3,4,209,3,medium,female,60,2240,1,Satisfied,delayed,Low Loyal
233,C,Ship,5,5,134,2,medium,male,53,1088,1,Very Satisfied,delayed,Low Loyal
234,E,Ship,2,1,222,2,medium,male,58,3626,1,Very dissatisfied,delayed,Low Loyal
235,D,Ship,2,1,139,3,low,female,39,1582,1,Very dissatisfied,delayed,Low Loyal
236,E,Ship,2,2,134,3,low,male,38,1352,1,Dissatisfied,delayed,Low Loyal
237,A,Ship,2,3,130,3,low,female,48,1801,1,Neutral,delayed,Low Loyal
238,B,Ship,2,2,133,3,low,male,5,1268,1,Dissatisfied,delayed,Low Loyal
239,C,Ship,2,3,140,3,low,female,23,1372,1,Neutral,delayed,Low Loyal
240,E,Ship,2,3,158,3,low,male,10,1515,1,Neutral,delayed,Low Loyal
241,D,Ship,4,5,270,4,low,male,65,1818,1,Very Satisfied,delayed,Moderate Loyal
242,E,Ship,2,4,140,3,low,female,33,1278,1,Satisfied,delayed,Low Loyal
243,A,Ship,2,2,135,3,low,male,58,1734,1,Dissatisfied,delayed,Low Loyal
244,B,Ship,2,4,136,3,low,male,43,1958,1,Satisfied,delayed,Low Loyal
245,C,Ship,2,1,142,3,medium,female,8,6064,1,Very dissatisfied,delayed,Low Loyal
246,E,Ship,2,4,154,3,medium,female,48,7684,1,Satisfied,delayed,Low Loyal
247,D,Ship,2,3,139,3,low,female,3,1788,1,Neutral,delayed,Low Loyal
248,E,Road,2,4,160,3,low,female,50,1030,1,Satisfied,delayed,Low Loyal
249,A,Road,2,2,134,3,low,female,38,1530,1,Dissatisfied,delayed,Low Loyal
250,B,Road,5,5,161,5,high,female,54,1511,1,Very Satisfied,delayed,Moderate Loyal
251,C,Road,2,3,155,3,low,female,45,1639,1,Neutral,delayed,Low Loyal
252,E,Road,2,2,145,3,medium,female,5,6102,1,Dissatisfied,delayed,Low Loyal
253,D,Road,2,1,157,3,low,male,58,1930,1,Very dissatisfied,delayed,Low Loyal
254,E,Road,2,5,160,3,low,female,19,1399,1,Very Satisfied,delayed,Low Loyal
255,A,Road,2,2,152,3,low,female,61,1800,1,Dissatisfied,delayed,Low Loyal
256,B,Road,2,2,148,3,high,female,35,1349,1,Dissatisfied,delayed,Low Loyal
257,C,Road,2,2,127,3,low,male,13,1128,1,Dissatisfied,delayed,Low Loyal
258,E,Road,2,2,129,3,medium,female,22,6614,1,Dissatisfied,delayed,Low Loyal
259,D,Road,2,3,158,3,low,female,13,1245,1,Neutral,delayed,Low Loyal
260,E,Road,2,4,147,3,low,male,5,1920,1,Satisfied,delayed,Low Loyal
261,A,Road,2,5,159,3,low,female,49,1621,1,Very Satisfied,delayed,Low Loyal
262,B,Road,2,3,151,3,low,female,23,1930,1,Neutral,delayed,Low Loyal
263,C,Road,3,1,294,4,low,female,52,1089,1,Very dissatisfied,delayed,Moderate Loyal
264,E,Road,3,2,226,2,medium,male,45,1446,1,Dissatisfied,delayed,Low Loyal
265,D,Road,5,3,271,5,high,male,9,1813,1,Neutral,delayed,Moderate Loyal
266,E,Road,7,2,203,5,medium,female,61,1856,1,Dissatisfied,delayed,Moderate Loyal
267,A,Road,2,3,264,4,low,female,10,1648,1,Neutral,delayed,Moderate Loyal
268,B,Road,4,1,258,3,medium,male,36,2211,1,Very dissatisfied,delayed,Low Loyal
269,C,Road,3,5,241,3,low,female,21,3078,1,Very Satisfied,delayed,Low Loyal
270,E,Flight,4,5,208,3,medium,male,23,2056,1,Very Satisfied,delayed,Low Loyal
271,D,Flight,3,2,209,5,medium,female,12,3054,1,Dissatisfied,delayed,Moderate Loyal
272,E,Flight,5,1,182,2,medium,female,23,2707,1,Very dissatisfied,delayed,Low Loyal
273,A,Flight,4,5,148,2,medium,female,43,1087,1,Very Satisfied,delayed,Low Loyal
274,B,Flight,2,3,183,2,medium,female,52,3199,1,Neutral,delayed,Low Loyal
275,C,Flight,3,5,229,6,medium,male,22,2717,1,Very Satisfied,delayed,Moderate Loyal
276,E,Flight,5,5,115,5,low,female,26,1692,1,Very Satisfied,delayed,Moderate Loyal
277,D,Flight,4,2,136,3,low,female,65,1962,1,Dissatisfied,delayed,Low Loyal
278,E,Flight,4,4,212,3,low,male,21,3307,1,Satisfied,delayed,Low Loyal
279,A,Flight,4,3,171,3,low,female,24,1304,1,Neutral,delayed,Low Loyal
280,B,Flight,3,1,151,2,low,male,60,1925,1,Very dissatisfied,delayed,Low Loyal
281,C,Flight,3,1,205,3,medium,male,39,3062,1,Very dissatisfied,delayed,Low Loyal
282,E,Flight,5,4,147,3,medium,male,23,1132,1,Satisfied,delayed,Low Loyal
283,D,Flight,3,3,155,3,low,female,29,1712,1,Neutral,delayed,Low Loyal
284,E,Flight,5,4,165,3,low,female,20,1150,1,Satisfied,delayed,Low Loyal
285,A,Flight,5,5,230,3,low,female,32,3249,1,Very Satisfied,delayed,Low Loyal
286,B,Flight,2,4,181,4,medium,male,13,2309,1,Satisfied,delayed,Moderate Loyal
287,C,Flight,5,3,234,2,low,female,55,3308,1,Neutral,delayed,Low Loyal
288,E,Flight,4,4,149,3,low,male,34,1977,1,Satisfied,delayed,Low Loyal
289,D,Flight,5,5,156,2,low,male,44,1561,1,Very Satisfied,delayed,Low Loyal
290,E,Flight,4,2,172,3,medium,female,59,1858,1,Dissatisfied,delayed,Low Loyal
291,A,Flight,4,4,270,3,low,male,12,3279,1,Satisfied,delayed,Low Loyal
292,B,Ship,4,1,206,3,medium,male,23,3807,1,Very dissatisfied,delayed,Low Loyal
293,C,Ship,4,3,211,4,medium,male,40,3106,1,Neutral,delayed,Moderate Loyal
294,E,Ship,3,2,136,4,low,male,62,1090,1,Dissatisfied,delayed,Moderate Loyal
295,D,Ship,5,1,186,2,high,female,52,3981,1,Very dissatisfied,delayed,Low Loyal
296,E,Ship,3,1,202,2,medium,male,62,3398,1,Very dissatisfied,delayed,Low Loyal
297,A,Ship,4,2,183,3,medium,female,12,3646,1,Dissatisfied,delayed,Low Loyal
298,B,Ship,4,4,232,2,low,male,36,2861,1,Satisfied,delayed,Low Loyal
299,C,Ship,4,2,147,4,medium,male,52,1129,1,Dissatisfied,delayed,Moderate Loyal
300,E,Ship,4,3,136,3,medium,male,20,1531,1,Neutral,delayed,Low Loyal
301,D,Ship,5,3,127,3,low,female,43,1446,1,Neutral,delayed,Low Loyal
